"last_name, first_name","player_id","year","on_base_plus_slg","babip","xbadiff","xslgdiff","wobadiff"
"Cruz, Oneil","665833","2022","0.744",".317",".014",".044",".019"
"Giménez, Andrés","665926","2022","0.837",".353",".040",".066",".038"
"Lux, Gavin","666158","2022","0.745",".341",".029",".027",".014"
"Bichette, Bo","666182","2022","0.802",".347",".012",".025",".013"
"Carlson, Dylan","666185","2022","0.696",".281",".002",".025",".005"
"Morel, Christopher","666624","2022","0.741",".320",".006",".002",".001"
"Dalbec, Bobby","666915","2022","0.652",".293","-0.001","-0.010","-0.009"
"García, Adolis","666969","2022","0.756",".309",".006",".009",".002"
"Gurriel Jr., Lourdes","666971","2022","0.743",".346",".018",".000",".006"
"Arozarena, Randy","668227","2022","0.772",".325",".029",".063",".035"
"Reynolds, Bryan","668804","2022","0.806",".306",".013",".045",".020"
"Rutschman, Adley","668939","2022","0.807",".291",".006",".034",".012"
"Rojas, Josh","668942","2022","0.740",".323",".030",".030",".021"
"Melendez Jr., MJ","669004","2022","0.706",".258","-0.020","-0.017","-0.022"
"Marsh, Brandon","669016","2022","0.679",".360",".019",".012",".009"
"Murphy, Sean","669221","2022","0.758",".290","-0.005","-0.013","-0.013"
"Senzel, Nick","669222","2022","0.602",".276","-0.018","-0.049","-0.027"
"Edman, Tommy","669242","2022","0.724",".308",".007",".020",".010"
"Smith, Will","669257","2022","0.808",".276",".003","-0.008","-0.003"
"Suwinski, Jack","669261","2022","0.709",".242","-0.002",".018",".004"
"Espinal, Santiago","669289","2022","0.692",".300",".004",".022",".007"
"Miranda, Jose","669304","2022","0.751",".307",".015",".016",".012"
"Gorman, Nolan","669357","2022","0.720",".301","-0.013","-0.056","-0.025"
"Allen, Nick","669397","2022","0.547",".250","-0.003",".025",".007"
"Hays, Austin","669720","2022","0.719",".289",".010",".041",".016"
"Lopez, Nicky","670032","2022","0.554",".265","-0.016","-0.039","-0.022"
"Alvarez, Yordan","670541","2022","1.019",".320","-0.020","-0.056","-0.033"
"Paredes, Isaac","670623","2022","0.739",".195","-0.005",".087",".026"
"Walls, Taylor","670764","2022","0.553",".221","-0.021","-0.016","-0.016"
"González, Luis","670768","2022","0.677",".312",".036",".051",".031"
"García, Luis","671277","2022","0.703",".337",".015","-0.001","-0.002"
"Harris II, Michael","671739","2022","0.853",".361",".029",".054",".033"
"Kirk, Alejandro","672386","2022","0.787",".299",".007","-0.016","-0.004"
"Perdomo, Geraldo","672695","2022","0.547",".243","-0.018","-0.020","-0.016"
"Robert Jr., Luis","673357","2022","0.745",".329",".012","-0.023","-0.003"
"Kim, Ha-Seong","673490","2022","0.708",".290",".001",".015",".004"
"Suzuki, Seiya","673548","2022","0.769",".326",".015",".015",".008"
"McCormick, Chas","676801","2022","0.739",".308",".013","-0.007",".001"
"Franco, Wander","677551","2022","0.745",".290","-0.008",".009","-0.008"
"Rodríguez, Julio","677594","2022","0.854",".345",".030",".049",".029"
"Thomas, Alek","677950","2022","0.619",".263","-0.007",".009","-0.005"
"Witt Jr., Bobby","677951","2022","0.722",".295",".002",".001","-0.002"
"Torkelson, Spencer","679529","2022","0.604",".255","-0.020","-0.055","-0.030"
"Kwan, Steven","680757","2022","0.773",".323",".030",".059",".029"
"Miller, Owen","680911","2022","0.652",".290","-0.003",".010","-0.004"
"Donovan, Brendan","680977","2022","0.773",".330",".015",".014",".010"
"Stott, Bryson","681082","2022","0.653",".274","-0.003",".018",".005"
"Abrams, CJ","682928","2022","0.604",".291",".005",".008",".001"
"Greene, Riley","682985","2022","0.683",".354",".007","-0.026","-0.013"
"Vaughn, Andrew","683734","2022","0.750",".301",".016",".014",".008"
