player_id,"last_name, first_name",on_base_plus_slg (2021),on_base_plus_slg (2022),on_base_plus_slg (2023),on_base_plus_slg (2024),babip (2021),babip (2022),babip (2023),babip (2024),xbadiff (2021),xbadiff (2022),xbadiff (2023),xbadiff (2024),xslgdiff (2021),xslgdiff (2022),xslgdiff (2023),xslgdiff (2024),wobadiff (2021),wobadiff (2022),wobadiff (2023),wobadiff (2024),ops_change 2021-2022,ops_change 2022-2023,ops_change 2023-2024
660271,"Ohtani, Shohei",0.964,0.875,1.066,1.036,0.303,0.32,0.342,0.336,-0.009,-0.002,0.009,-0.004,-0.02,-0.03,0.016,-0.014,-0.015,-0.013,0.006,-0.011,-9.232365145228217,21.828571428571443,-2.814258911819889
662139,"Varsho, Daulton",0.755,0.745,0.674,0.7,0.286,0.269,0.256,0.262,-0.002,0.022,-0.012,0.028,0.007,0.054,-0.005,0.091,-0.001,0.025,-0.009,0.043,-1.3245033112582738,-9.530201342281874,3.857566765578624
663586,"Riley, Austin",0.898,0.877,0.861,0.783,0.368,0.315,0.324,0.31,0.022,0.002,0.008,-0.011,0.02,-0.003,0.0,-0.044,0.013,-0.001,-0.002,-0.023,-2.3385300668151476,-1.8244013683010318,-9.059233449477343
663624,"Mountcastle, Ryan",0.796,0.728,0.78,0.733,0.297,0.303,0.315,0.327,0.01,-0.027,-0.003,-0.001,0.03,-0.086,-0.051,-0.02,0.009,-0.046,-0.023,-0.016,-8.5427135678392,7.14285714285714,-6.025641025641026
663647,"Hayes, Ke'Bryan",0.689,0.659,0.762,0.573,0.321,0.307,0.315,0.279,0.015,-0.002,0.001,-0.011,0.011,-0.005,0.017,-0.037,0.007,-0.006,0.003,-0.023,-4.354136429608113,15.62974203338392,-24.803149606299225
663656,"Tucker, Kyle",0.916,0.808,0.886,0.993,0.304,0.261,0.289,0.282,-0.009,-0.005,-0.008,0.01,-0.019,-0.004,-0.013,0.049,-0.013,-0.005,-0.014,0.019,-11.79039301310043,9.65346534653464,12.076749435665924
663697,"India, Jonathan",0.835,0.705,0.745,0.749,0.326,0.305,0.281,0.292,0.015,0.011,-0.008,-0.018,0.023,0.025,-0.017,-0.02,0.011,0.013,-0.012,-0.019,-15.568862275449103,5.673758865248235,0.5369127516778427
663993,"Lowe, Nathaniel",0.772,0.85,0.774,0.762,0.339,0.363,0.329,0.324,0.028,0.027,-0.001,0.013,0.014,0.033,0.008,0.021,0.014,0.024,0.001,0.009,10.103626943005173,-8.94117647058823,-1.5503875968992276
664023,"Happ, Ian",0.757,0.782,0.791,0.782,0.281,0.336,0.299,0.299,0.006,0.032,-0.006,0.0,0.038,0.061,0.004,-0.005,0.011,0.033,-0.005,-0.004,3.302509907529716,1.1508951406649537,-1.1378002528445008
664034,"France, Ty",0.813,0.774,0.703,0.67,0.327,0.296,0.294,0.277,0.021,0.012,-0.02,0.006,0.01,0.039,-0.054,-0.022,0.007,0.016,-0.027,-0.007,-4.797047970479696,-9.173126614987092,-4.694167852062581
664056,"Bader, Harrison",0.784,0.65,0.622,0.657,0.306,0.3,0.261,0.276,0.04,0.02,-0.002,-0.006,0.072,0.039,-0.027,-0.004,0.041,0.019,-0.017,-0.009,-17.091836734693878,-4.307692307692312,5.62700964630225
664761,"Bohm, Alec",0.647,0.713,0.764,0.78,0.327,0.319,0.296,0.305,-0.014,-0.01,-0.016,-0.008,-0.05,-0.038,-0.016,0.004,-0.028,-0.023,-0.014,-0.007,10.200927357032441,7.152875175315576,2.0942408376963373
664913,"Brown, Seth",0.754,0.749,0.691,0.661,0.23,0.273,0.27,0.291,-0.011,-0.021,-0.015,-0.001,0.018,-0.01,-0.046,-0.008,-0.003,-0.015,-0.024,-0.005,-0.6631299734747964,-7.743658210947935,-4.341534008683057
665489,"Guerrero Jr., Vladimir",1.002,0.819,0.789,0.94,0.313,0.289,0.277,0.342,0.0,-0.007,-0.035,0.002,0.004,0.016,-0.059,-0.023,-0.002,0.0,-0.038,-0.01,-18.26347305389222,-3.66300366300365,19.138149556400496
665742,"Soto, Juan",0.999,0.853,0.929,0.988,0.332,0.249,0.296,0.298,0.008,-0.024,-0.009,-0.028,-0.011,-0.049,-0.019,-0.077,-0.009,-0.025,-0.013,-0.041,-14.614614614614618,8.909730363423218,6.350914962325072
666182,"Bichette, Bo",0.827,0.802,0.814,0.599,0.339,0.347,0.355,0.269,0.007,0.012,-0.006,-0.03,-0.006,0.025,-0.027,-0.053,-0.001,0.013,-0.014,-0.039,-3.0229746070132957,1.4962593516209433,-26.412776412776406
666969,"García, Adolis",0.74,0.756,0.836,0.684,0.306,0.309,0.28,0.273,0.023,0.006,-0.005,-0.003,0.032,0.009,-0.018,-0.013,0.015,0.002,-0.012,-0.01,2.1621621621621623,10.582010582010582,-18.181818181818176
666971,"Gurriel Jr., Lourdes",0.785,0.743,0.772,0.757,0.305,0.346,0.282,0.313,0.004,0.018,-0.003,0.012,0.004,0.0,0.024,0.014,-0.006,0.006,0.005,0.008,-5.350318471337589,3.9030955585464433,-1.9430051813471572
668227,"Arozarena, Randy",0.815,0.772,0.789,0.72,0.363,0.325,0.31,0.275,0.052,0.029,0.011,0.0,0.09,0.063,-0.01,0.007,0.046,0.035,-0.004,-0.004,-5.276073619631894,2.2020725388601115,-8.745247148288982
668804,"Reynolds, Bryan",0.912,0.806,0.79,0.791,0.345,0.306,0.304,0.33,0.008,0.013,-0.017,0.005,-0.001,0.045,-0.03,-0.016,-0.001,0.02,-0.022,-0.007,-11.622807017543856,-1.985111662531014,0.12658227848101333
668942,"Rojas, Josh",0.752,0.74,0.641,0.64,0.345,0.323,0.313,0.282,0.032,0.03,0.015,0.002,0.059,0.03,0.007,-0.014,0.032,0.021,0.006,-0.007,-1.5957446808510634,-13.378378378378375,-0.15600624024960652
669257,"Smith, Will",0.86,0.808,0.797,0.76,0.274,0.276,0.277,0.273,0.008,0.003,-0.001,0.006,0.023,-0.008,0.003,-0.013,0.0,-0.003,-0.007,-0.008,-6.04651162790697,-1.3613861386138626,-4.642409033877037
670541,"Alvarez, Yordan",0.877,1.019,0.99,0.959,0.32,0.32,0.306,0.317,0.002,-0.02,-0.004,0.005,-0.034,-0.056,-0.04,-0.028,-0.017,-0.033,-0.02,-0.009,16.19156214367159,-2.8459273797840967,-3.1313131313131293
683734,"Vaughn, Andrew",0.705,0.75,0.743,0.699,0.271,0.301,0.299,0.285,-0.008,0.016,0.006,0.002,-0.038,0.014,0.002,-0.038,-0.026,0.008,0.002,-0.015,6.382978723404253,-0.9333333333333305,-5.921938088829082
