"last_name, first_name","player_id","year","on_base_plus_slg","xbadiff","xslgdiff","wobadiff"
"Peña, Jeremy","665161","2023","0.705","-0.002",".005",".000"
"Tatis Jr., Fernando","665487","2023","0.771","-0.024","-0.059","-0.032"
"Guerrero Jr., Vladimir","665489","2023","0.789","-0.035","-0.059","-0.038"
"Soto, Juan","665742","2023","0.929","-0.009","-0.019","-0.013"
"Taveras, Leody","665750","2023","0.733","-0.004",".014","-0.003"
"Cabrera, Oswaldo","665828","2023","0.574",".000","-0.010","-0.003"
"Chisholm Jr., Jazz","665862","2023","0.761",".026",".026",".018"
"Ruiz, Esteury","665923","2023","0.654",".020",".029",".019"
"Giménez, Andrés","665926","2023","0.713",".006",".032",".012"
"Jones, Nolan","666134","2023","0.931",".048",".043",".033"
"Kirilloff, Alex","666135","2023","0.793",".009",".020",".009"
"Lowe, Josh","666139","2023","0.835",".016",".020",".013"
"Moniak, Mickey","666160","2023","0.802",".032",".045",".031"
"Sabol, Blake","666165","2023","0.695",".036",".025",".023"
"Benson, Will","666181","2023","0.863",".045",".100",".048"
"Bichette, Bo","666182","2023","0.814","-0.006","-0.027","-0.014"
"Julien, Edouard","666397","2023","0.840",".030",".032",".021"
"Morel, Christopher","666624","2023","0.821",".003",".023",".007"
"García, Adolis","666969","2023","0.836","-0.005","-0.018","-0.012"
"Gurriel Jr., Lourdes","666971","2023","0.772","-0.003",".024",".005"
"Julks, Corey","667452","2023","0.649","-0.003","-0.021","-0.009"
"Rooker Jr., Brent","667670","2023","0.817",".009",".010",".005"
"Arozarena, Randy","668227","2023","0.789",".011","-0.010","-0.004"
"Pratto, Nick","668472","2023","0.660",".023",".014",".014"
"Rogers, Jake","668670","2023","0.730","-0.006","-0.005","-0.009"
"Bleday, JJ","668709","2023","0.665","-0.009",".003","-0.003"
"Steer, Spencer","668715","2023","0.820",".019",".047",".022"
"Baddoo, Akil","668731","2023","0.682",".000",".001","-0.002"
"Reynolds, Bryan","668804","2023","0.790","-0.017","-0.030","-0.022"
"Turang, Brice","668930","2023","0.585","-0.006","-0.021","-0.012"
"Rutschman, Adley","668939","2023","0.809","-0.015","-0.034","-0.021"
"Rojas, Josh","668942","2023","0.641",".015",".007",".006"
"Melendez Jr., MJ","669004","2023","0.714",".000","-0.034","-0.015"
"Marsh, Brandon","669016","2023","0.830",".043",".067",".036"
"Langeliers, Shea","669127","2023","0.681","-0.006","-0.010","-0.007"
"Murphy, Sean","669221","2023","0.843","-0.023","-0.059","-0.029"
"Senzel, Nick","669222","2023","0.696","-0.009",".032",".006"
"Edman, Tommy","669242","2023","0.706","-0.014",".009","-0.006"
"Smith, Will","669257","2023","0.797","-0.001",".003","-0.007"
"Suwinski, Jack","669261","2023","0.793",".006","-0.007","-0.005"
"Gorman, Nolan","669357","2023","0.806","-0.001","-0.020","-0.009"
"Burger, Jake","669394","2023","0.827","-0.020",".006","-0.010"
"Allen, Nick","669397","2023","0.550",".000","-0.001","-0.005"
"Hays, Austin","669720","2023","0.769",".033",".024",".021"
"Call, Alex","669743","2023","0.614","-0.014","-0.028","-0.016"
"Raley, Luke","670042","2023","0.823",".024",".053",".026"
"Alvarez, Yordan","670541","2023","0.990","-0.004","-0.040","-0.020"
"Paredes, Isaac","670623","2023","0.840",".020",".119",".047"
"Walls, Taylor","670764","2023","0.638",".001",".038",".013"
"Friedl Jr., TJ","670770","2023","0.819",".039",".146",".064"
"Casas, Triston","671213","2023","0.857",".010","-0.010","-0.003"
"Waters, Drew","671221","2023","0.677","-0.007","-0.035","-0.017"
"García, Luis","671277","2023","0.689",".003","-0.019","-0.011"
"Harris II, Michael","671739","2023","0.808","-0.011","-0.013","-0.012"
"Bailey, Patrick","672275","2023","0.644","-0.016","-0.061","-0.031"
"Kelenic, Jarred","672284","2023","0.746","-0.011","-0.016","-0.012"
"Arias, Gabriel","672356","2023","0.627","-0.020","-0.055","-0.028"
"Kirk, Alejandro","672386","2023","0.692","-0.006","-0.028","-0.012"
"Moreno, Gabriel","672515","2023","0.747",".018",".021",".011"
"Garcia, Maikel","672580","2023","0.681","-0.002","-0.035","-0.020"
"Perdomo, Geraldo","672695","2023","0.712",".042",".087",".044"
"Diaz, Yainer","673237","2023","0.846","-0.003","-0.001","-0.003"
"Robert Jr., Luis","673357","2023","0.857",".005",".027",".011"
"Kim, Ha-Seong","673490","2023","0.749",".015",".039",".017"
"Suzuki, Seiya","673548","2023","0.842",".002",".016",".001"
"Jung, Josh","673962","2023","0.782",".006","-0.015","-0.003"
"Noda, Ryan","676116","2023","0.770",".016",".014",".008"
"Burleson, Alec","676475","2023","0.690","-0.033","-0.059","-0.037"
"Meyers, Jake","676694","2023","0.678",".014",".025",".014"
